game_id,sport,game_date,away,home,away_starter,home_starter,away_score,home_score,status,away_starter_id,home_starter_id
mlb-823543,mlb,2026-09-22,Tampa Bay Rays,New York Yankees,Nick Martinez,Carlos Rodón,0,0,live,607259,607074
mlb-823494,mlb,2026-09-22,Tampa Bay Rays,New York Yankees,Drew Rasmussen,Max Fried,,,preview,656876,608331
mlb-824785,mlb,2026-09-22,Toronto Blue Jays,Baltimore Orioles,Max Scherzer,Chris Bassitt,,,preview,453286,605135
mlb-824222,mlb,2026-09-22,Washington Nationals,Detroit Tigers,Riley Cornelio,Drew Anderson,,,preview,683000,623454
mlb-823328,mlb,2026-09-22,St. Louis Cardinals,Pittsburgh Pirates,Andre Pallante,Jared Jones,,,preview,669467,683003
mlb-823412,mlb,2026-09-22,Milwaukee Brewers,Philadelphia Phillies,Dustin May,Zack Wheeler,,,preview,669160,554430
mlb-824709,mlb,2026-09-22,Cleveland Guardians,Boston Red Sox,Parker Messick,Payton Tolle,,,preview,800048,801139
mlb-824867,mlb,2026-09-22,Cincinnati Reds,Atlanta Braves,Brandon Williamson,JR Ritchie,,,preview,682227,702275
mlb-824061,mlb,2026-09-22,Chicago White Sox,Kansas City Royals,Anthony Kay,Daniel Lynch IV,,,preview,641743,663738
mlb-824624,mlb,2026-09-22,Miami Marlins,Chicago Cubs,Janson Junk,Shota Imanaga,,,preview,676083,684007
mlb-822840,mlb,2026-09-22,New York Mets,Texas Rangers,Sean Manaea,MacKenzie Gore,,,preview,640455,669022
mlb-824302,mlb,2026-09-22,Arizona Diamondbacks,Colorado Rockies,Michael Soroka,Kyle Freeland,,,preview,647336,607536
mlb-824953,mlb,2026-09-22,Los Angeles Angels,Athletics,Yusei Kikuchi,Brady Basso,,,preview,579328,669620
mlb-823089,mlb,2026-09-22,Houston Astros,Seattle Mariners,Cristian Javier,Logan Gilbert,,,preview,664299,669302
mlb-823166,mlb,2026-09-22,Minnesota Twins,San Francisco Giants,Taj Bradley,Anthony Molina,,,preview,671737,683627
mlb-823897,mlb,2026-09-22,San Diego Padres,Los Angeles Dodgers,Michael King,,,,preview,650633,
mlb-espn-401873648,mlb,2026-09-22,Tampa Bay Rays,New York Yankees,,,0,0,live,,
mlb-espn-401817035,mlb,2026-09-22,Toronto Blue Jays,Baltimore Orioles,,,,,scheduled,,
mlb-espn-401817032,mlb,2026-09-22,Milwaukee Brewers,Philadelphia Phillies,,,,,scheduled,,
mlb-espn-401817033,mlb,2026-09-22,St. Louis Cardinals,Pittsburgh Pirates,,,,,scheduled,,
mlb-espn-401817036,mlb,2026-09-22,Washington Nationals,Detroit Tigers,,,,,scheduled,,
mlb-espn-401817031,mlb,2026-09-22,Cleveland Guardians,Boston Red Sox,,,,,scheduled,,
mlb-espn-401817034,mlb,2026-09-22,Tampa Bay Rays,New York Yankees,,,,,scheduled,,
mlb-espn-401817030,mlb,2026-09-22,Cincinnati Reds,Atlanta Braves,,,,,scheduled,,
mlb-espn-401817037,mlb,2026-09-22,Chicago White Sox,Kansas City Royals,,,,,scheduled,,
mlb-espn-401817038,mlb,2026-09-22,Miami Marlins,Chicago Cubs,,,,,scheduled,,
mlb-espn-401817039,mlb,2026-09-23,New York Mets,Texas Rangers,,,,,scheduled,,
mlb-espn-401817040,mlb,2026-09-23,Arizona Diamondbacks,Colorado Rockies,,,,,scheduled,,
mlb-espn-401817041,mlb,2026-09-23,Los Angeles Angels,Athletics,,,,,scheduled,,
mlb-espn-401817042,mlb,2026-09-23,Houston Astros,Seattle Mariners,,,,,scheduled,,
mlb-espn-401817043,mlb,2026-09-23,Minnesota Twins,San Francisco Giants,,,,,scheduled,,
mlb-espn-401817044,mlb,2026-09-23,San Diego Padres,Los Angeles Dodgers,,,,,scheduled,,
nfl-espn-401872932,nfl,2026-09-18,Detroit Lions,Buffalo Bills,,,31,41,final,,
nfl-espn-401872933,nfl,2026-09-20,Carolina Panthers,Atlanta Falcons,,,34,3,final,,
nfl-espn-401872937,nfl,2026-09-20,Minnesota Vikings,Chicago Bears,,,9,3,final,,
nfl-espn-401872939,nfl,2026-09-20,Philadelphia Eagles,Tennessee Titans,,,24,20,final,,
nfl-espn-401872946,nfl,2026-09-20,Pittsburgh Steelers,New England Patriots,,,3,20,final,,
nfl-espn-401872936,nfl,2026-09-20,Green Bay Packers,New York Jets,,,20,17,final,,
nfl-espn-401872935,nfl,2026-09-20,Cleveland Browns,Tampa Bay Buccaneers,,,23,19,final,,
nfl-espn-401872938,nfl,2026-09-20,New Orleans Saints,Baltimore Ravens,,,24,17,final,,
nfl-espn-401872934,nfl,2026-09-20,Cincinnati Bengals,Houston Texans,,,20,6,final,,
nfl-espn-401872940,nfl,2026-09-20,Jacksonville Jaguars,Denver Broncos,,,13,20,final,,
nfl-espn-401872941,nfl,2026-09-20,Las Vegas Raiders,Los Angeles Chargers,,,26,14,final,,
nfl-espn-401872944,nfl,2026-09-20,Washington Commanders,Dallas Cowboys,,,20,37,final,,
nfl-espn-401872943,nfl,2026-09-20,Seattle Seahawks,Arizona Cardinals,,,31,7,final,,
nfl-espn-401872942,nfl,2026-09-20,Miami Dolphins,San Francisco 49ers,,,13,35,final,,
nfl-espn-401872945,nfl,2026-09-21,Indianapolis Colts,Kansas City Chiefs,,,30,33,final,,
nfl-espn-401872947,nfl,2026-09-22,New York Giants,Los Angeles Rams,,,6,28,final,,
